Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
SSD,WDS200T1X0E,WD,Black SN850 NVMe PCIe M.2 2TB,1,476,222,https://ssd.userbenchmark.com/SpeedTest/1363185/WD-BLACK-SN850-2TB
SSD,WDS100T1X0E,WD,Black SN850 NVMe PCIe M.2 1TB,2,437,2175,https://ssd.userbenchmark.com/SpeedTest/1348947/WD-BLACK-SN850-1TB
SSD,SSDPED1D960GAX1,Intel,905P Optane NVMe PCIe 960GB,3,433,485,https://ssd.userbenchmark.com/SpeedTest/498903/INTEL-SSDPED1D960GAY
SSD,SSDPED1D280GASX,Intel,900P Optane NVMe PCIe 280GB,4,431,2335,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPE21D280GASX,Intel,900P Optane NVMe PCIe 280GB,4,431,2335,https://ssd.userbenchmark.com/SpeedTest/315555/INTEL-SSDPED1D280GA
SSD,SSDPED1D480GASX,Intel,900P Optane NVMe PCIe 480GB,5,418,1583,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,SSDPE21D480GASX,Intel,900P Optane NVMe PCIe 480GB,5,418,1583,https://ssd.userbenchmark.com/SpeedTest/375784/INTEL-SSDPED1D480GA
SSD,MZ-V8P2T0B,Samsung,980 Pro NVMe PCIe M.2 2TB,6,411,5689,https://ssd.userbenchmark.com/SpeedTest/1454302/Samsung-SSD-980-PRO-2TB
SSD,WDS500G1X0E,WD ,Black SN850 NVMe PCIe M.2 500GB,7,398,232,https://ssd.userbenchmark.com/SpeedTest/1366573/WD-BLACK-SN850-500GB
SSD,MZ-V8P1T0B,Samsung,980 Pro NVMe PCIe M.2 1TB,8,397,46572,https://ssd.userbenchmark.com/SpeedTest/1302577/Samsung-SSD-980-PRO-1TB
SSD,GP-ASM2NE6200TTTD,Gigabyte,Aorus NVMe PCIe M.2 2TB,9,355,3448,https://ssd.userbenchmark.com/SpeedTest/844144/GIGABYTE-GP-ASM2NE6200TTTD
SSD,MZ-V8P500B,Samsung,980 Pro NVMe PCIe M.2 500GB,10,346,21586,https://ssd.userbenchmark.com/SpeedTest/1307906/Samsung-SSD-980-PRO-500GB
SSD,SB-ROCKET-NVMe4-2TB,Sabrent,Rocket 4 NVMe PCIe M.2 2TB,11,346,4857,https://ssd.userbenchmark.com/SpeedTest/847932/Sabrent-ROCKET-40-2TB
SSD,SSDPEKNU020TZX1,Intel,670p NVMe PCIe M.2 2TB,12,340,51,https://ssd.userbenchmark.com/SpeedTest/1393067/INTEL-SSDPEKNU020TZ
SSD,CSSD-F2000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 2TB,13,339,8721,https://ssd.userbenchmark.com/SpeedTest/841469/Force-MP600
SSD,GP-ASM2NE6100TTTD,Gigabyte,Aorus NVMe PCIe M.2 1TB,14,337,11389,https://ssd.userbenchmark.com/SpeedTest/842989/GIGABYTE-GP-ASM2NE6100TTTD
SSD,MZ-V7S2T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,15,330,38595,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,MZ-V7S2T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 2TB,15,330,38595,https://ssd.userbenchmark.com/SpeedTest/798635/Samsung-SSD-970-EVO-Plus-2TB
SSD,SB-ROCKET-NVMe4-1TB,Sabrent,Rocket 4 NVMe PCIe M.2 1TB,16,327,38629,https://ssd.userbenchmark.com/SpeedTest/844208/Sabrent-ROCKET-40-1TB
SSD,CSSD-F1000GBMP600,Corsair,Force MP600 NVMe PCIe M.2 1TB,17,326,31078,https://ssd.userbenchmark.com/SpeedTest/843047/Force-MP600
SSD,MZ-V7P1T0BW,Samsung,970 Pro NVMe PCIe M.2 1TB,18,323,36263,https://ssd.userbenchmark.com/SpeedTest/497261/Samsung-SSD-970-PRO-1TB
SSD,SSDPEKNU010TZX1,Intel,670p NVMe PCIe M.2 1TB,19,322,776,https://ssd.userbenchmark.com/SpeedTest/1493432/INTEL-SSDPEKNU010TZ
SSD,MZ-V7S1T0BW,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,20,320,284053,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7S1T0B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 1TB,20,320,284053,https://ssd.userbenchmark.com/SpeedTest/693540/Samsung-SSD-970-EVO-Plus-1TB
SSD,MZ-V7P512BW,Samsung,970 Pro NVMe PCIe M.2 512GB,21,315,79361,https://ssd.userbenchmark.com/SpeedTest/498971/Samsung-SSD-970-PRO-512GB
SSD,MZ-V7E1T0BW,Samsung,970 Evo NVMe PCIe M.2 1TB,22,303,264672,https://ssd.userbenchmark.com/SpeedTest/494791/Samsung-SSD-970-EVO-1TB
SSD,CT2000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 2TB,23,300,1342,https://ssd.userbenchmark.com/SpeedTest/1232397/CT2000P5SSD8
SSD,MZ-V8P250BW,Samsung,980 Pro NVMe PCIe M.2 250GB,24,300,3841,https://ssd.userbenchmark.com/SpeedTest/1311638/Samsung-SSD-980-PRO-250GB
SSD,5MS24AA#ABC,HP,EX950 NVMe PCIe M.2 2TB,25,296,2087,https://ssd.userbenchmark.com/SpeedTest/710813/HP-SSD-EX950-2TB
SSD,CT1000P5SSD8,Crucial,P5 3D NVMe PCIe M.2 1TB,26,296,12199,https://ssd.userbenchmark.com/SpeedTest/1217319/CT1000P5SSD8
SSD,MZ-V8V1T0B,Samsung,980 NVMe PCIe M.2 1TB,27,294,15254,https://ssd.userbenchmark.com/SpeedTest/1488476/Samsung-SSD-980-1TB
SSD,WDS100T3X0C,WD,Black SN750 NVMe PCIe M.2 1TB (2019),28,287,78718,https://ssd.userbenchmark.com/SpeedTest/703216/WDS100T3X0C-00SJG0
SSD,MZ-V7S500BW,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,29,287,318635,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7S500B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 500GB,29,287,318635,https://ssd.userbenchmark.com/SpeedTest/700020/Samsung-SSD-970-EVO-Plus-500GB
SSD,MZ-V7E2T0BW,Samsung,970 Evo NVMe PCIe M.2 2TB,30,285,8831,https://ssd.userbenchmark.com/SpeedTest/501128/Samsung-SSD-970-EVO-2TB
SSD,5MS23AA#ABC,HP,EX950 NVMe PCIe M.2 1TB,31,284,3590,https://ssd.userbenchmark.com/SpeedTest/706053/HP-SSD-EX950-1TB
SSD,SB-ROCKET-NVMe4-500,Sabrent,Rocket 4 NVMe PCIe M.2 500GB,32,283,10500,https://ssd.userbenchmark.com/SpeedTest/905105/Sabrent-Rocket-40-500GB
SSD,2YY47AA#ABC,HP,EX920 NVMe PCIe M.2 1TB,33,281,11542,https://ssd.userbenchmark.com/SpeedTest/488611/HP-SSD-EX920-1TB
SSD,ASX8200PNP-1TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 1TB,34,277,67013,https://ssd.userbenchmark.com/SpeedTest/638791/ADATA-SX8200PNP
SSD,MZ-V6P2T0BW,Samsung,960 Pro NVMe PCIe M.2 2TB,35,276,3308,https://ssd.userbenchmark.com/SpeedTest/215493/Samsung-SSD-960-PRO-2TB
SSD,ASX8200PNP-2TT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 2TB,36,273,342,https://ssd.userbenchmark.com/SpeedTest/892867/NVMe-ADATA-SX8200PNP
SSD,SDSSDXPM2-1T00-G25,SanDisk,Extreme Pro NVMe PCIe M.2 1TB (2018),37,273,2330,https://ssd.userbenchmark.com/SpeedTest/493695/SanDisk-Extreme-Pro-1TB
SSD,SSDPEK1W120GA01,Intel,800p NVMe PCIe M.2 118GB,38,273,114,https://ssd.userbenchmark.com/SpeedTest/489136/NVMe-INTEL-SSDPEK1W12
SSD,CT500P5SSD8,Crucial,P5 3D NVMe PCIe M.2 500GB,39,269,8326,https://ssd.userbenchmark.com/SpeedTest/1213080/CT500P5SSD8
SSD,MZ-V6P1T0BW,Samsung,960 Pro NVMe PCIe M.2 1TB,40,269,17404,https://ssd.userbenchmark.com/SpeedTest/200815/Samsung-SSD-960-PRO-1TB
SSD,MZ-V6P512BW,Samsung,960 Pro NVMe PCIe M.2 512GB,41,269,66734,https://ssd.userbenchmark.com/SpeedTest/182182/Samsung-SSD-960-PRO-512GB
SSD,MZ-V7E500BW,Samsung,970 Evo NVMe PCIe M.2 500GB,42,267,353785,https://ssd.userbenchmark.com/SpeedTest/493995/Samsung-SSD-970-EVO-500GB
SSD,SSDPEK1W060GA01,Intel,800p NVMe PCIe M.2 58GB,43,266,45,https://ssd.userbenchmark.com/SpeedTest/483445/NVMe-INTEL-SSDPEK1W06
SSD,WDS200T3X0C,WD,Black SN750 NVMe PCIe M.2 2TB (2019),44,266,1875,https://ssd.userbenchmark.com/SpeedTest/764887/WDS200T3X0C-00SJG0
SSD,5MS22AA#ABC,HP,EX950 NVMe PCIe M.2 512GB,45,261,2329,https://ssd.userbenchmark.com/SpeedTest/705098/HP-SSD-EX950-512GB
SSD,ASX8200NP-960GT-C,Adata,XPG SX8200 NVMe PCIe M.2 960GB,46,258,3014,https://ssd.userbenchmark.com/SpeedTest/504709/ADATA-SX8200NP
SSD,ZP2000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 2TB,47,256,1321,https://ssd.userbenchmark.com/SpeedTest/827002/Seagate-FireCuda-510-SSD-ZP2000GM30001
SSD,WDS100T2X0C,WD,Black NVMe PCIe M.2 1TB (2018),48,248,6626,https://ssd.userbenchmark.com/SpeedTest/486281/WDS100T2X0C-00L350
SSD,WDS500G3X0C,WD,Black SN750 NVMe PCIe M.2 500GB (2019),49,248,88748,https://ssd.userbenchmark.com/SpeedTest/701228/WDS500G3X0C-00SJG0
SSD,SB-ROCKET-4TB,Sabrent,Rocket NVMe PCIe M.2 4TB,50,246,303,https://ssd.userbenchmark.com/SpeedTest/953820/Sabrent
SSD,ASX8200PNP-512GT-C,Adata,XPG SX8200 Pro NVMe PCIe M.2 512GB,51,244,67607,https://ssd.userbenchmark.com/SpeedTest/634807/ADATA-SX8200PNP
SSD,ZP1000GM300,Seagate,FireCuda 510 NVMe PCIe M.2 1TB,52,241,2360,https://ssd.userbenchmark.com/SpeedTest/819569/Seagate-FireCuda-510-SSD-ZP1000GM30001
SSD,MZ-V6E1T0BW,Samsung,960 Evo NVMe PCIe M.2 1TB,53,241,36171,https://ssd.userbenchmark.com/SpeedTest/211052/Samsung-SSD-960-EVO-1TB
SSD,CT2000P2SSD8,Crucial,P2 3D NVMe PCIe M.2 2TB,54,240,1246,https://ssd.userbenchmark.com/SpeedTest/1332635/CT2000P2SSD8
SSD,SDSSDXPM2-500G-G25,SanDisk,Extreme Pro NVMe PCIe M.2 500GB (2018),55,240,3957,https://ssd.userbenchmark.com/SpeedTest/513270/SanDisk-Extreme-Pro-500GB
SSD,MZ-V8V500B,Samsung,980 NVMe PCIe M.2 500GB,56,239,5186,https://ssd.userbenchmark.com/SpeedTest/1488477/Samsung-SSD-980-500GB
SSD,MZ-V7S250BW,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,57,239,81140,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZ-V7S250B/AM,Samsung,970 Evo Plus NVMe PCIe M.2 250GB,57,239,81140,https://ssd.userbenchmark.com/SpeedTest/711305/Samsung-SSD-970-EVO-Plus-250GB
SSD,MZVLB1T0HALR,Samsung,PM981 NVMe PCIe M.2 1TB,58,238,27846,https://ssd.userbenchmark.com/SpeedTest/413203/PM981-NVMe-Samsung-1024GB
SSD,WDS100T2B0C,WD,Blue SN550 NVMe PCIe M.2 1TB,59,237,95766,https://ssd.userbenchmark.com/SpeedTest/994217/WDC-WDS100T2B0C-00PXH0
SSD,2YY46AA#ABC,HP,EX920 NVMe PCIe M.2 512GB,60,234,6241,https://ssd.userbenchmark.com/SpeedTest/486240/HP-SSD-EX920-512GB
SSD,,Samsung,PM961 NVMe PCIe M.2 1TB,61,232,5751,https://ssd.userbenchmark.com/SpeedTest/165378/NVMe-SAMSUNG-MZVLW1T0
SSD,MZ-V7E250BW,Samsung,970 Evo NVMe PCIe M.2 250GB,62,232,129129,https://ssd.userbenchmark.com/SpeedTest/494033/Samsung-SSD-970-EVO-250GB
SSD,CSSD-F960GBMP510,Corsair,Force NVMe PCIe M.2 960GB,63,232,27145,https://ssd.userbenchmark.com/SpeedTest/609454/Force-MP510
SSD,MZVKW512HMJP-00000,Samsung,SM961 NVMe PCIe M.2 512GB,64,232,14496,https://ssd.userbenchmark.com/SpeedTest/147864/NVMe-SAMSUNG-MZVKW512
SSD,CSSD-F1920GBMP510,Corsair,Force NVMe PCIe M.2 2TB,65,231,3086,https://ssd.userbenchmark.com/SpeedTest/633975/Force-MP510
SSD,SB-ROCKET-2TB,Sabrent,Rocket NVMe PCIe M.2 2TB,66,230,8658,https://ssd.userbenchmark.com/SpeedTest/847986/NVMe-Sabrent
SSD,WDS500G2X0C,WD,Black NVMe PCIe M.2 500GB (2018),67,230,20359,https://ssd.userbenchmark.com/SpeedTest/485459/WDS500G2X0C-00L350
SSD,ASX8200NP-480GT-C,Adata,XPG SX8200 NVMe PCIe M.2 480GB,68,227,14372,https://ssd.userbenchmark.com/SpeedTest/482768/ADATA-SX8200NP
SSD,CT250P5SSD8,Crucial,P5 3D NVMe PCIe M.2 250GB,69,227,729,https://ssd.userbenchmark.com/SpeedTest/1239408/CT250P5SSD8
