"brand","model","cores","base_clock","boost_clock","tdp","integrated_graphics","multithreading","price"
"AMD","2650",2,"{\"cycles\":1450000000}",null,25,"Radeon HD 8240",false,"[\"USD\",\"59.61\"]"
"AMD","3850",4,"{\"cycles\":1300000000}",null,25,"Radeon HD 8280",false,"[\"USD\",\"79.59\"]"
"AMD","5150",4,"{\"cycles\":1600000000}",null,25,"Radeon HD 8400",false,"[\"USD\",\"0.00\"]"
"AMD","5350",4,"{\"cycles\":2049999999}",null,25,"Radeon HD 8400",false,"[\"USD\",\"104.94\"]"
"AMD","5350",4,"{\"cycles\":2049999999}",null,25,"Radeon HD 8400",false,"[\"USD\",\"0.00\"]"
"AMD","A10-5700",4,"{\"cycles\":3400000000}",null,65,"Radeon HD 7660D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-5800K",4,"{\"cycles\":3800000000}",null,100,"Radeon HD 7660D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6700",4,"{\"cycles\":3700000000}",null,65,"Radeon HD 8670D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6700T",4,"{\"cycles\":2500000000}","{\"cycles\":3500000000}",45,"Radeon HD 8650D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6790B",4,"{\"cycles\":4000000000}",null,100,"Radeon HD 8670D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6790K",4,"{\"cycles\":4000000000}","{\"cycles\":4300000000}",100,"Radeon HD 8670D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6800B",4,"{\"cycles\":4099999999}","{\"cycles\":4400000000}",100,"Radeon HD 8670D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-6800K",4,"{\"cycles\":4099999999}",null,100,"Radeon HD 8670D",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7700K",4,"{\"cycles\":3400000000}","{\"cycles\":3800000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"547.80\"]"
"AMD","A10-7700K",4,"{\"cycles\":3400000000}","{\"cycles\":3800000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7800",4,"{\"cycles\":3500000000}","{\"cycles\":3900000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7850K",4,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"273.83\"]"
"AMD","A10-7850K",4,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7860k",4,"{\"cycles\":3600000000}","{\"cycles\":4000000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7870K",4,"{\"cycles\":3900000000}","{\"cycles\":4099999999}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-7890K",4,"{\"cycles\":4099999999}","{\"cycles\":4300000000}",95,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A10-9700",4,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"242.87\"]"
"AMD","A10-9700E",4,"{\"cycles\":3000000000}","{\"cycles\":3500000000}",35,"Radeon R7 (on-die)",false,"[\"USD\",\"292.98\"]"
"AMD","A12-9800",4,"{\"cycles\":3800000000}","{\"cycles\":4200000000}",65,"Radeon R7 (on-die)",false,"[\"USD\",\"0.00\"]"
"AMD","A12-9800E",4,"{\"cycles\":3100000000}","{\"cycles\":3800000000}",35,"Radeon R7 (on-die)",false,"[\"USD\",\"177.45\"]"
"AMD","A4-3300",2,"{\"cycles\":2500000000}",null,65,"Radeon HD 6410D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-3300",2,"{\"cycles\":2500000000}",null,65,"Radeon HD 6410D",false,"[\"USD\",\"85.00\"]"
"AMD","A4-3400",2,"{\"cycles\":2700000000}",null,65,"Radeon HD 6410D",false,"[\"USD\",\"149.94\"]"
"AMD","A4-3400",2,"{\"cycles\":2700000000}",null,65,"Radeon HD 6410D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-3420",2,"{\"cycles\":2800000000}",null,65,"Radeon HD 6410D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-3450",2,"{\"cycles\":2900000000}",null,65,null,false,"[\"USD\",\"0.00\"]"
"AMD","A4-4000",2,"{\"cycles\":3000000000}",null,65,"Radeon HD 7480D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-4000",2,"{\"cycles\":3000000000}",null,65,"Radeon HD 7480D",false,"[\"USD\",\"139.84\"]"
"AMD","A4-4020",2,"{\"cycles\":3200000000}","{\"cycles\":3400000000}",65,"Radeon HD 7480D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-5300",2,"{\"cycles\":3400000000}",null,65,"Radeon HD 7480D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-5300",2,"{\"cycles\":3400000000}",null,65,"Radeon HD 7480D",false,"[\"USD\",\"93.74\"]"
"AMD","A4-6300",2,"{\"cycles\":3700000000}","{\"cycles\":3900000000}",65,"Radeon HD 8370D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-6300B",2,"{\"cycles\":3700000000}","{\"cycles\":3900000000}",65,"Radeon HD 8370D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-6320",2,"{\"cycles\":3800000000}","{\"cycles\":4000000000}",65,"Radeon HD 8370D",false,"[\"USD\",\"0.00\"]"
"AMD","A4-7300",2,"{\"cycles\":3800000000}","{\"cycles\":4000000000}",65,"Radeon HD 8470D",false,"[\"USD\",\"135.00\"]"
"AMD","A6-3500",3,"{\"cycles\":2100000000}",null,65,"Radeon HD 6530D",false,"[\"USD\",\"0.00\"]"
"AMD","A6-3650",4,"{\"cycles\":2600000000}",null,100,"Radeon HD 6530D",false,"[\"USD\",\"0.00\"]"
"AMD","A6-3670K",4,"{\"cycles\":2700000000}",null,100,"Radeon HD 6530D",false,"[\"USD\",\"0.00\"]"
"AMD","A6-5400K",2,"{\"cycles\":3600000000}",null,65,"Radeon HD 7540D",false,"[\"USD\",\"124.74\"]"
"AMD","A6-6400K",2,"{\"cycles\":3900000000}",null,65,"Radeon HD 8470D",false,"[\"USD\",\"0.00\"]"
"AMD","A6-6420K",2,"{\"cycles\":4000000000}","{\"cycles\":4200000000}",65,"Radeon HD 8000 Series",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7400K",2,"{\"cycles\":3500000000}","{\"cycles\":3900000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7470K",2,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"0.00\"]"
"AMD","A6-7470K",2,"{\"cycles\":3700000000}","{\"cycles\":4000000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"105.27\"]"
"AMD","A6-7480",2,"{\"cycles\":3500000000}","{\"cycles\":3800000000}",65,"Radeon R5 (on die)",false,"[\"USD\",\"144.00\"]"
